tunnus,nimi,isin,id_notation,aum,kulut,toteutus,osinko
SPPX,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg 10+ Year U.S. Treasury Bond UCITS ETF USD,IE00BYSZ5V04,154851899,"130,92 M$","0,05 %",Arvopaperi,Puolivuosittain
SYBM,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg Emerging Markets Local Bond UCITS ETF USD,IE00B4613386,46436694,"1 522,58 M$","0,55 %",Arvopaperi,Puolivuosittain
SYBA,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg Euro Aggregate Bond UCITS ETF EUR,IE00B41RYL63,46380709,"583,54 M€","0,17 %",Arvopaperi,Puolivuosittain
SYBB,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg Euro Government Bond UCITS ETF EUR,IE00B3S5XW04,46380710,"412,49 M€","0,10 %",Arvopaperi,Puolivuosittain
SYBS,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg Sterling Corporate Bond UCITS ETF GBP,IE00B4694Z11,47003809,"152,61 M£","0,20 %",Arvopaperi,Puolivuosittain
SYBT,SSGA SPDR ETFs Europe I PLC - State Street SPDR Bloomberg U.S. Treasury Bond UCITS ETF USD,IE00B44CND37,47003810,"311,87 M$","0,15 %",Arvopaperi,Puolivuosittain
,SSGA SPDR ETFs Europe I PLC - State Street SPDR S&P 500 UCITS ETF Accum shs - USD,IE000XZSV718,438488257,"16 103,5 M$","0,03 %",Arvopaperi,
SPY5,SSGA SPDR ETFs Europe I PLC - State Street SPDR S&P 500 UCITS ETF USD,IE00B6YX5C33,60112548,"19 419,7 M$","0,03 %",Arvopaperi,Neljännesvuosittain
ZPRG,SSGA SPDR ETFs Europe I PLC - State Street SPDR S&P Global Dividend Aristocrats UCITS ETF Ptg USD,IE00B9CQXS71,81184385,"1 336,39 M$","0,45 %",Arvopaperi,Neljännesvuosittain
ZPRA,SSGA SPDR ETFs Europe I PLC - State Street SPDR S&P Pan Asia Dividend Aristocrats UCITS ETF Ptg USD,IE00B9KNR336,81184384,"248,21 M$","0,55 %",Arvopaperi,Puolivuosittain
SYBW,State Street SPDR Bloomberg 1-3 Year U.S. Treasury Bond UCITS ETF Shs USD,IE00BC7GZJ81,85943821,"82,3 M$","0,18 %",Arvopaperi,Puolivuosittain
SPP7,State Street SPDR Bloomberg 7-10 Year U.S. Treasury Bond UCITS ETF USD,IE00BYSZ5T81,154851898,"15,79 M$","0,16 %",Arvopaperi,Puolivuosittain
SYBC,State Street SPDR Bloomberg Euro Corporate Bond UCITS ETF EUR,IE00B3T9LM79,46380711,"724,81 M€","0,12 %",Arvopaperi,Puolivuosittain
SYBJ,State Street SPDR Bloomberg Euro High Yield Bond UCITS ETF EUR,IE00B6YX5M31,58866129,"511,71 M€","0,40 %",Arvopaperi,Puolivuosittain
SYBU,State Street SPDR Bloomberg U.S. Aggregate Bond UCITS ETF Shs USD,IE00B459R192,47003807,"181,83 M$","0,17 %",Arvopaperi,Puolivuosittain
SYBK,State Street SPDR Bloomberg U.S. High Yield Corporate Scored UCITS ETF USD,IE00B99FL386,88659545,"179,91 M$","0,30 %",Arvopaperi,Puolivuosittain
SYBY,State Street SPDR Bloomberg U.S. TIPS UCITS ETF USD,IE00BZ0G8977,148525012,"239,46 M$","0,17 %",Arvopaperi,Puolivuosittain
SYBG,State Street SPDR Bloomberg UK Gilt UCITS ETF GBP,IE00B3W74078,64135294,"871,98 M£","0,15 %",Arvopaperi,Puolivuosittain
SPY2,State Street SPDR Dow Jones Global Real Estate UCITS ETF Accum Unhedged USD,IE00BH4GR342,270773904,"52,59 M$","0,40 %",Arvopaperi,
SPYJ,State Street SPDR Dow Jones Global Real Estate UCITS ETF USD,IE00B8GF1M35,72284859,"348,65 M$","0,40 %",Arvopaperi,Neljännesvuosittain
ZPRL,State Street SPDR EURO STOXX Low Volatility UCITS ETF Accum.Shs EUR,IE00BFTWP510,100066763,"32,84 M€","0,30 %",Arvopaperi,
SPYF,State Street SPDR FTSE UK All Share UCITS ETF Accum. GBP,IE00B7452L46,59417714,"380,74 M£","0,20 %",Arvopaperi,
SPYA,State Street SPDR MSCI EM Asia UCITS ETF Accum USD,IE00B466KX20,46380706,"1 586,76 M$","0,55 %",Arvopaperi,
SPYM,State Street SPDR MSCI Emerging Markets UCITS ETF Accum.Shs USD,IE00B469F816,46380704,"1 942,55 M$","0,18 %",Arvopaperi,
SPYN,State Street SPDR MSCI Europe Energy UCITS ETF,IE00BKWQ0F09,119591402,"683,68 M€","0,30 %",Arvopaperi,
SPYZ,State Street SPDR MSCI Europe Financials UCITS ETF,IE00BKWQ0G16,119591403,"712,29 M€","0,18 %",Arvopaperi,
SPYH,State Street SPDR MSCI Europe Health Care UCITS ETF Accum Ptg EUR,IE00BKWQ0H23,119591404,"520,11 M€",,Arvopaperi,
SPYQ,State Street SPDR MSCI Europe Industrials UCITS ETF,IE00BKWQ0J47,119591405,"1 144,79 M€","0,18 %",Arvopaperi,
SPYK,State Street SPDR MSCI Europe Technology UCITS ETF Accum Ptg EUR,IE00BKWQ0K51,119591406,"198,87 M€","0,18 %",Arvopaperi,
SPYE,State Street SPDR MSCI Europe UCITS ETF,IE00BKWQ0Q14,119591411,"386,39 M€","0,25 %",Arvopaperi,
SPYU,State Street SPDR MSCI Europe Utilities UCITS ETF,IE00BKWQ0P07,119591410,"787,87 M€","0,18 %",Arvopaperi,
ZPRW,State Street SPDR MSCI Europe Value UCITS ETF Accum EUR,IE00BSPLC306,125378850,"64,12 M€","0,20 %",Arvopaperi,
